#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E28D
#Date Time: 2026-04-02 18:41:13.593
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),I2S
0.01855134,X
0.01855135,X
0.01855136,X
0.01855137,X
0.01855138,X
0.01855139,X
0.0185514,X
0.01855141,X
0.01855142,X
0.01855143,X
0.01855144,X
0.01855145,X
0.01855146,X
0.01855147,X
0.01855148,X
0.01855149,X
0.0185515,X
0.01855151,X
0.01855152,X
0.01855153,X
0.01855154,X
0.01855155,X
0.01855156,X
0.01855157,X
0.01855158,X
0.01855159,X
0.0185516,X
0.01855161,X
0.01855162,X
0.01855163,X
0.01855164,X
0.01855165,X
0.01855166,X
0.01855167,X
0.01855168,X
0.01855169,X
0.0185517,X
0.01855171,X
0.01855172,X
0.01855173,X
0.01855174,X
0.01855175,X
0.01855176,X
0.01855177,X
0.01855178,X
0.01855179,X
0.0185518,X
0.01855181,X
0.01855182,X
0.01855183,X
0.01855184,X
0.01855185,X
0.01855186,X
0.01855187,X
0.01855188,X
0.01855189,X
0.0185519,X
0.01855191,X
0.01855192,X
0.01855193,X
0.01855194,X
0.01855195,X
0.01855196,X
0.01855197,X
0.01855198,X
0.01855199,X
0.018552,X
0.01855201,X
0.01855202,X
0.01855203,X
0.01855204,X
0.01855205,X
0.01855206,X
0.01855207,X
0.01855208,X
0.01855209,X
0.0185521,X
0.01855211,X
0.01855212,X
0.01855213,X
0.01855214,X
0.01855215,X
0.01855216,X
0.01855217,X
0.01855218,X
0.01855219,X
0.0185522,X
0.01855221,X
0.01855222,X
0.01855223,X
0.01855224,X
0.01855225,X
0.01855226,X
0.01855227,X
0.01855228,X
0.01855229,X
0.0185523,X
0.01855231,X
0.01855232,X
0.01855233,X
0.01855234,X
0.01855235,X
0.01855236,X
0.01855237,X
0.01855238,X
0.01855239,X
0.0185524,X
0.01855241,X
0.01855242,X
0.01855243,X
0.01855244,X
0.01855245,X
0.01855246,X
0.01855247,X
0.01855248,X
0.01855249,X
0.0185525,X
0.01855251,X
0.01855252,X
0.01855253,X
0.01855254,X
0.01855255,X
0.01855256,X
0.01855257,X
0.01855258,X
0.01855259,X
0.0185526,X
0.01855261,X
0.01855262,X
0.01855263,X
0.01855264,X
0.01855265,X
0.01855266,X
0.01855267,X
0.01855268,X
0.01855269,X
0.0185527,X
0.01855271,X
0.01855272,X
0.01855273,X
0.01855274,X
0.01855275,X
0.01855276,X
0.01855277,X
0.01855278,X
0.01855279,X
0.0185528,X
0.01855281,X
0.01855282,X
0.01855283,X
0.01855284,X
0.01855285,X
0.01855286,X
0.01855287,X
0.01855288,L h00000000
0.01855289,L h00000000
0.0185529,L h00000000
0.01855291,L h00000000
0.01855292,L h00000000
0.01855293,L h00000000
0.01855294,L h00000000
0.01855295,L h00000000
0.01855296,L h00000000
0.01855297,L h00000000
0.01855298,L h00000000
0.01855299,L h00000000
0.018553,L h00000000
0.01855301,L h00000000
0.01855302,L h00000000
0.01855303,L h00000000
0.01855304,L h00000000
0.01855305,L h00000000
0.01855306,L h00000000
0.01855307,L h00000000
0.01855308,L h00000000
0.01855309,L h00000000
0.0185531,L h00000000
0.01855311,L h00000000
0.01855312,L h00000000
0.01855313,L h00000000
0.01855314,L h00000000
0.01855315,L h00000000
0.01855316,L h00000000
0.01855317,L h00000000
0.01855318,L h00000000
0.01855319,L h00000000
0.0185532,L h00000000
0.01855321,L h00000000
0.01855322,L h00000000
0.01855323,L h00000000
0.01855324,L h00000000
0.01855325,L h00000000
0.01855326,L h00000000
0.01855327,L h00000000
0.01855328,L h00000000
0.01855329,L h00000000
0.0185533,L h00000000
0.01855331,L h00000000
0.01855332,L h00000000
0.01855333,L h00000000
0.01855334,L h00000000
0.01855335,L h00000000
0.01855336,L h00000000
0.01855337,L h00000000
0.01855338,L h00000000
0.01855339,L h00000000
0.0185534,L h00000000
0.01855341,L h00000000
0.01855342,L h00000000
0.01855343,L h00000000
0.01855344,L h00000000
0.01855345,L h00000000
0.01855346,L h00000000
0.01855347,L h00000000
0.01855348,L h00000000
0.01855349,L h00000000
0.0185535,L h00000000
0.01855351,L h00000000
0.01855352,L h00000000
0.01855353,L h00000000
0.01855354,L h00000000
0.01855355,L h00000000
0.01855356,L h00000000
0.01855357,L h00000000
0.01855358,L h00000000
0.01855359,L h00000000
0.0185536,L h00000000
0.01855361,L h00000000
0.01855362,L h00000000
0.01855363,L h00000000
0.01855364,L h00000000
0.01855365,L h00000000
0.01855366,L h00000000
0.01855367,L h00000000
0.01855368,L h00000000
0.01855369,L h00000000
0.0185537,L h00000000
0.01855371,L h00000000
0.01855372,L h00000000
0.01855373,L h00000000
0.01855374,L h00000000
0.01855375,L h00000000
0.01855376,L h00000000
0.01855377,L h00000000
0.01855378,L h00000000
0.01855379,L h00000000
0.0185538,L h00000000
0.01855381,L h00000000
0.01855382,L h00000000
0.01855383,L h00000000
0.01855384,L h00000000
0.01855385,L h00000000
0.01855386,L h00000000
0.01855387,L h00000000
0.01855388,L h00000000
0.01855389,L h00000000
0.0185539,L h00000000
0.01855391,L h00000000
0.01855392,L h00000000
0.01855393,L h00000000
0.01855394,L h00000000
0.01855395,L h00000000
0.01855396,L h00000000
0.01855397,L h00000000
0.01855398,L h00000000
0.01855399,L h00000000
0.018554,L h00000000
0.01855401,L h00000000
0.01855402,L h00000000
0.01855403,L h00000000
0.01855404,L h00000000
0.01855405,L h00000000
0.01855406,L h00000000
0.01855407,L h00000000
0.01855408,L h00000000
0.01855409,L h00000000
0.0185541,L h00000000
0.01855411,L h00000000
0.01855412,L h00000000
0.01855413,L h00000000
0.01855414,L h00000000
0.01855415,L h00000000
0.01855416,L h00000000
0.01855417,L h00000000
0.01855418,L h00000000
0.01855419,L h00000000
0.0185542,L h00000000
0.01855421,L h00000000
0.01855422,L h00000000
0.01855423,L h00000000
0.01855424,L h00000000
0.01855425,L h00000000
0.01855426,L h00000000
0.01855427,L h00000000
0.01855428,L h00000000
0.01855429,L h00000000
0.0185543,L h00000000
0.01855431,L h00000000
0.01855432,L h00000000
0.01855433,L h00000000
0.01855434,L h00000000
0.01855435,L h00000000
0.01855436,L h00000000
0.01855437,L h00000000
0.01855438,L h00000000
0.01855439,L h00000000
0.0185544,L h00000000
0.01855441,L h00000000
0.01855442,L h00000000
0.01855443,L h00000000
0.01855444,L h00000000
0.01855445,L h00000000
0.01855446,L h00000000
0.01855447,L h00000000
0.01855448,L h00000000
0.01855449,L h00000000
0.0185545,L h00000000
0.01855451,L h00000000
0.01855452,L h00000000
0.01855453,L h00000000
0.01855454,L h00000000
0.01855455,L h00000000
0.01855456,L h00000000
0.01855457,L h00000000
0.01855458,L h00000000
0.01855459,L h00000000
0.0185546,L h00000000
0.01855461,L h00000000
0.01855462,L h00000000
0.01855463,L h00000000
0.01855464,L h00000000
0.01855465,L h00000000
0.01855466,L h00000000
0.01855467,L h00000000
0.01855468,L h00000000
0.01855469,L h00000000
0.0185547,L h00000000
0.01855471,L h00000000
0.01855472,L h00000000
0.01855473,L h00000000
0.01855474,L h00000000
0.01855475,L h00000000
0.01855476,L h00000000
0.01855477,L h00000000
0.01855478,L h00000000
0.01855479,L h00000000
0.0185548,L h00000000
0.01855481,L h00000000
0.01855482,L h00000000
0.01855483,L h00000000
0.01855484,L h00000000
0.01855485,L h00000000
0.01855486,L h00000000
0.01855487,L h00000000
0.01855488,L h00000000
0.01855489,L h00000000
0.0185549,L h00000000
0.01855491,L h00000000
0.01855492,L h00000000
0.01855493,L h00000000
0.01855494,L h00000000
0.01855495,L h00000000
0.01855496,L h00000000
0.01855497,L h00000000
0.01855498,L h00000000
0.01855499,L h00000000
0.018555,L h00000000
0.01855501,L h00000000
0.01855502,L h00000000
0.01855503,L h00000000
0.01855504,L h00000000
0.01855505,L h00000000
0.01855506,L h00000000
0.01855507,L h00000000
0.01855508,L h00000000
0.01855509,L h00000000
0.0185551,L h00000000
0.01855511,L h00000000
0.01855512,L h00000000
0.01855513,L h00000000
0.01855514,L h00000000
0.01855515,L h00000000
0.01855516,L h00000000
0.01855517,L h00000000
0.01855518,L h00000000
0.01855519,L h00000000
0.0185552,L h00000000
0.01855521,L h00000000
0.01855522,L h00000000
0.01855523,L h00000000
0.01855524,L h00000000
0.01855525,L h00000000
0.01855526,L h00000000
0.01855527,L h00000000
0.01855528,L h00000000
0.01855529,L h00000000
0.0185553,L h00000000
0.01855531,L h00000000
0.01855532,L h00000000
0.01855533,L h00000000
0.01855534,L h00000000
0.01855535,L h00000000
0.01855536,L h00000000
0.01855537,L h00000000
0.01855538,L h00000000
0.01855539,L h00000000
0.0185554,L h00000000
0.01855541,L h00000000
0.01855542,L h00000000
0.01855543,L h00000000
0.01855544,L h00000000
0.01855545,L h00000000
0.01855546,L h00000000
0.01855547,L h00000000
0.01855548,L h00000000
0.01855549,L h00000000
0.0185555,L h00000000
0.01855551,L h00000000
0.01855552,L h00000000
0.01855553,L h00000000
0.01855554,L h00000000
0.01855555,L h00000000
0.01855556,L h00000000
0.01855557,L h00000000
0.01855558,L h00000000
0.01855559,L h00000000
0.0185556,L h00000000
0.01855561,L h00000000
0.01855562,L h00000000
0.01855563,L h00000000
0.01855564,L h00000000
0.01855565,L h00000000
0.01855566,L h00000000
0.01855567,L h00000000
0.01855568,L h00000000
0.01855569,L h00000000
0.0185557,L h00000000
0.01855571,L h00000000
0.01855572,L h00000000
0.01855573,L h00000000
0.01855574,L h00000000
0.01855575,L h00000000
0.01855576,L h00000000
0.01855577,L h00000000
0.01855578,L h00000000
0.01855579,L h00000000
0.0185558,L h00000000
0.01855581,L h00000000
0.01855582,L h00000000
0.01855583,L h00000000
0.01855584,L h00000000
0.01855585,L h00000000
0.01855586,L h00000000
0.01855587,L h00000000
0.01855588,L h00000000
0.01855589,L h00000000
0.0185559,L h00000000
0.01855591,L h00000000
0.01855592,L h00000000
0.01855593,L h00000000
0.01855594,L h00000000
